0,1,2,3,4,5,6,7,8,9
0.45478413242385696,0.7484120672511214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5803072743638791
0.8276285335036584,0.33154653022506614,0.8124809238222249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7677901651367347,0.3897889085380398,0.8227510291827398,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.522021754989848,0.35701952684573085,0.6325404801801879,0.0,0.0,0.0,0.0,0.0
0.0,0.9607618864230729,0.0,0.5147543625073745,0.44997149447262147,0.7488605626705076,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9844966421467847,0.48041311786128793,0.5902473310742739,0.0,0.0,0.0
0.0,0.0,0.9096282212522856,0.0,0.0,0.9950094377442602,0.3952436472973996,0.9795617903519707,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9438722452837515,0.3778491189085507,0.8689583583285112,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5964963910935143,0.3536176674285828,0.6376853285406582
0.6015522985471669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743390148788207,0.3174873522396285
